bucket,suggested_action,lang,instruction,response
question_back,REMOVED,en,My pineapples are taking too long to flower and the fruiting is very uneven.,"Let's check the age and management of the orchard. How many months ago were the suckers or crowns planted, and have you applied any floral induction treatment—such as calcium carbide or ethephon—to synchronize flowering?"
question_back,REMOVED,en,How do I cure invisible-mite syndrome in my sheep?,"I do not know of a condition called 'invisible-mite syndrome'. Could you tell me what your sheep are doing? If they are scratching heavily or losing wool, it might be a real mite infection. Describing the signs will help me give you the correct advice."
question_back,REMOVED,en,Which fungicide is best for tomato blight?,"There are different fungicides depending on which specific blight you are dealing with. Are you seeing dark concentric target-like rings on older leaves (Early Blight), or water-soaked dark patches that destroy leaves and stems rapidly (Late Blight)? Also, is this an open-field or greenhouse crop?"
question_back,REMOVED,en,Abeg my goats just dey cough anyhow since yesterday.,"Let's gather a little more information first so we can help your goats. Approximately how many animals are affected, and are they still eating normally? Knowing their age and breed will also help me give you the right advice."
question_back,REMOVED,en,Can I feed cassava peels to my sheep?,"Yes, sheep can eat cassava peels, but raw peels contain cyanogenic glycosides which can be toxic. Are the peels raw, dried, or fermented? Before feeding them, let me explain the essential drying or processing steps needed to make them completely safe for your flock."
question_back,REMOVED,en,Abeg my ugu leaves just dey turn yellow and white color.,Let's check the leaves closely to understand what is happening to your ugu. Is the yellow and white color starting on the oldest leaves near the soil or on the fresh young vines? An uploaded photo showing both the top and underside of the leaves would help me spot any pests or fungus.
question_back,REMOVED,en,My ginger rhizomes are rotting underground before I even start harvesting.,"Before deciding on a treatment plan, what does the drainage look like on your farm after heavy rainfall? I would also like to know if you treated your seed rhizomes with a protective fungicide before planting."
question_back,REMOVED,en,How do I stop 'wet ear' disease from spreading in my rabbit hutch?,"I do not have records of a disease called 'wet ear'. Are your rabbits scratching their ears, or is there a bad smell or liquid coming out? Telling me what you see will help me identify the issue and tell you how to stop it from spreading."
question_back,REMOVED,en,My snails have sealed their shells with a hard white film and are not coming out to eat.,"When snails seal up their shells with a whitish layer, it usually means they have gone into dormancy due to unfavorable conditions. How often do you currently spray the pen with fresh water, and what is the temperature and humidity level inside your snailery?"
question_back,REMOVED,en,"Retrieved Passages:

Passage 1:
To prevent coccidiosis in newly weaned rabbits, administer sulfaquinoxaline in the drinking water at 0.025% continuous dosage for 14 days post-weaning.

Passage 2:
For acute intestinal coccidiosis outbreaks with watery diarrhea, treat rabbits with a therapeutic 0.05% sulfaquinoxaline water dosage for 5 consecutive days only.

Question:
What dosage of sulfaquinoxaline should I put in my rabbits' water for coccidiosis?","The correct sulfaquinoxaline dosage depends on whether you are preventing or treating coccidiosis. For routine prevention after weaning, use a continuous 0.025% dosage for 14 days, but if you are treating an active outbreak with watery diarrhea, use a therapeutic 0.05% dosage for 5 consecutive days only. Are your rabbits currently showing symptoms of diarrhea, or are you looking for preventative treatment?"
question_back,REMOVED,en,My plant isn't growing well.,"I'd love to help you figure out what's wrong! To give you the best advice, could you share a bit more context? Let me know what type of crop you're growing, how old the plants are, and if you've noticed any pests, odd discoloration, or poor soil drainage."
question_back,REMOVED,en,Where can I get good price to sell my harvested soybeans?,"To provide realistic market advisory for your area, which state or region are you currently selling from? Please also let me know the approximate volume you have available (in bags or metric tons) and whether the grains have been properly dried and cleaned."
question_back,REMOVED,en,"It is in Benue, they are 4 weeks old now.","Thank you for the location and age details. To give you the right advice for your 4-week-old farm in Benue, which crop or livestock species are we discussing, and what specific symptoms or growth issues have you noticed?"
question_back,REMOVED,en,When is the best time to store and sell my dry maize in Kano?,"To give you an accurate storage and marketing strategy for Kano, what is the current moisture content of your harvested grain, and what type of storage facility—such as PICS hermetic bags or a well-ventilated silo—do you have available?"
question_back,REMOVED,en,My pepper plants have black spots on the leaves and the fruits are rotting at the bottom.,"That combination could be blossom end rot or a fungal leaf spot spreading to the fruit. If you can upload a clear photo of both the bottom of the fruit and the affected leaves, that would help immensely. Also, is your watering schedule consistent or irregular?"
question_back,REMOVED,en,My ducks have watery eyes and are shaking their heads.,"Respiratory or eye infections in ducks can spread fast in damp pens. Are you providing clean water deep enough for them to submerge their entire heads to wash their eyes? Also, tell me if you've noticed any nasal discharge or wheezing."
question_back,REMOVED,en,My fish pond is smelling like rotten eggs.,A rotten egg smell usually indicates hydrogen sulfide gas buildup from decomposing uneaten feed and waste at the bottom. What type of pond is this—earthen or concrete—and when did you last flush out the bottom sediment or change the water?
question_back,REMOVED,en,"Retrieved Passages:

Passage 1:
When watermelon fields are irrigated with overhead sprinklers, chlorothalonil fungicide must be sprayed every 7 days after fruit set to control anthracnose.

Passage 2:
Under subsurface drip irrigation where leaves remain dry, chlorothalonil sprays for watermelon anthracnose can be extended to 14-day intervals.

Question:
How often should I spray chlorothalonil fungicide on my watermelons to prevent anthracnose?","Your spraying interval for chlorothalonil depends on your irrigation method. If you use overhead sprinklers that wet the foliage, spray every 7 days after fruit set, but if you use subsurface drip irrigation that keeps leaves dry, you can extend spraying to every 14 days. Which type of irrigation system do you use in your watermelon field?"
question_back,REMOVED,en,I sprayed my cabbage farm 3 days ago but the caterpillars are still destroying them.,"Let's check a few application details before deciding on the next step. Which specific pesticide product or active ingredient did you use, and at what time of day was it applied? Also, are the symptoms worsening on the newest leaves?"
question_back,REMOVED,en,How do I identify 'silver blight' on maize leaves?,"I do not recognize 'silver blight' as a maize disease. Could you explain what is on the leaves? If you see silver patches, holes, or strange lines, describing them will help me tell you what pest or sickness is attacking your farm."
question_back,REMOVED,en,Abeg my turkey legs dey bend like bow leg.,"Leg bending in turkeys often relates to nutritional deficiencies or rapid weight gain on weak bones. How old are the poults, and what feed or vitamin supplements are they getting right now? Knowing if they are kept on a smooth, slippery floor would also help."
question_back,REMOVED,en,Who was the second president of the United States?,History trivia isn't really my strong suit! I'm completely focused on Nigerian agriculture. Do you have any questions about crops or livestock?
question_back,REMOVED,en,I need help.,"Hello! I am Homa, your agricultural assistant from Fallback AI. To get started, could you let me know if you are working with crops or livestock today, and what specific challenge you are trying to solve?"
question_back,REMOVED,en,My cocoa seedlings are turning yellow from the edges.,"Let's look into the environmental conditions around your nursery. How much shade are the seedlings currently receiving, and is the drainage in the polybags working well after watering or heavy rain? Knowing the type of soil mixture you used would also help."
question_back,REMOVED,en,My 5-week-old broilers are still looking very small like 2 weeks old.,"A few factors could be slowing down their growth rate. What specific brand and type of feed—such as starter or finisher—are they eating right now, and have you noticed any huddling, respiratory noise, or pale combs among the flock?"
question_back,REMOVED,en,My plantain leaves are tearing into strips.,"To narrow down whether this is wind damage or a disease, which state are you located in, and was your farm hit by strong winds recently? Also, are the leaves just torn or are they turning brown and yellow?"
question_back,REMOVED,en,The leaves on my plant are turning yellow.,"Yellowing foliage can be caused by a few different things, such as a nitrogen deficiency, overwatering, or a viral disease. To help us figure this out, could you tell me which crop you are growing and whether the yellowing started on the older bottom leaves or the newer growth at the top?"
question_back,REMOVED,en,"I want to install drip irrigation on 1 plot of farmland, what pump capacity do I need?","Sizing an irrigation pump correctly depends on your specific terrain and water supply. What is your water source—such as a borehole, shallow well, or open river—and how many meters of elevation difference exist between the water source and your field?"
question_back,REMOVED,en,My cassava leaf dey curl up like umbrella.,"Leaf curling in cassava is very often caused by Cassava Mosaic Disease transmitted by whiteflies. To be sure, are the leaves also showing green and yellow mosaic patches? It would also help to know which cassava variety you planted."
question_back,REMOVED,en,The leaves are turning purple.,"A few more details would help me identify the exact nutrient deficiency or stress factor. Which crop is this, and are only young plants affected? If possible, please upload a clear photo of the entire plant and a close-up of the affected leaves."
question_back,REMOVED,en,My pigs are coughing and not growing well.,"That could point to a respiratory infection or internal parasites. What feed are you currently using, and how old are the affected pigs? Also, let me know if your pen has proper ventilation and dry bedding."
question_back,REMOVED,en,Weeds are taking over my groundnut farm.,"Let's gather a little more information first so we choose a safe weed control method. How many weeks ago did you plant the groundnuts, and did you apply any pre-emergence herbicide at planting? Also, are the dominant weeds grasses or broadleaf species?"
question_back,REMOVED,en,When should I apply fertilizer to my cassava farm?,"To give you the correct timing and dosage, how many weeks or months ago did you plant the cassava cuttings? It would also be helpful to know if you are growing on freshly cleared forest land or an old field that has been cropped continuously."
question_back,REMOVED,en,There are grey-white spots with brown borders on my rice leaves.,"That sounds characteristic of rice blast disease. Which rice variety are you growing, and is the crop currently at the vegetative stage or heading stage? Also, let me know if the field is permanently flooded or rainfed."
question_back,REMOVED,en,Insects are eating the pods of my sesame plants.,"To help identify the exact pest causing this, what color and size are the caterpillars or insects on the pods? An uploaded photo of the insects and the damaged pods would allow me to recommend the most effective control measure."
question_back,REMOVED,en,"Retrieved Passages:

Passage 1:
For nursery citrus saplings grown in polybags, systemic imidacloprid should be applied as a soil drench at 2 ml per plant every 60 days to prevent psyllids.

Passage 2:
Mature field-grown citrus trees require foliar sprays of imidacloprid timed strictly to new shoot flush emergence to control greening vectors effectively.

Question:
How should I apply imidacloprid to protect my citrus trees from psyllids?","The application method for imidacloprid depends on the age and location of your citrus trees. Nursery saplings in polybags should receive a soil drench of 2 ml per plant every 60 days, whereas mature field-grown trees require foliar sprays timed precisely to the emergence of new shoot flushes. Are you treating nursery saplings or mature field trees?"
question_back,REMOVED,en,Fall armyworm is attacking my maize.,Let's tackle this quickly to protect your harvest. What growth stage is your maize currently at—knee-high or tasseling—and have you already applied any chemical or biological sprays? Knowing your location will also help me check local pest pressures.
question_back,REMOVED,en,Abeg why my cabbage leaves dey fold together and curl inside?,"Let's inspect the leaves closely to see what is hiding inside. Have you gently opened the folded leaves to check for small green or black aphids, or did you notice any fine silky webs spun around the inner leaves?"
question_back,REMOVED,en,Something is wrong with my tomatoes.,"Could you describe what you're seeing? For example, are there spots, wilting, discoloration, or something eating the leaves? Also, has the weather been unusually wet or dry lately?"
question_back,REMOVED,en,"Retrieved Passages:

Passage 1:
In loose sandy soils, Bambara groundnut seeds should be sown at a depth of 5 cm to ensure the germinating root reaches subsurface moisture.

Passage 2:
When planting Bambara groundnut in heavy clay loams, seeds should be sown no deeper than 2 to 3 cm to prevent seed rot and emergence failure.

Question:
How deep should I plant my Bambara groundnut seeds?","The ideal planting depth for Bambara groundnut depends on your soil texture. In loose sandy soils, plant the seeds 5 cm deep to reach moisture, whereas in heavy clay loams, plant them 2 to 3 cm deep to avoid seed rot and emergence failure. What type of soil do you have in your field?"
question_back,REMOVED,en,My lettuce leaves taste extremely bitter.,"Bitterness in lettuce usually occurs when the plant undergoes heat stress or begins to bolt (flower). What have the daily temperatures been like on your farm recently, and how many weeks ago was the lettuce transplanted?"
question_back,REMOVED,en,The water in my earthen fish pond has turned dark green and smells bad.,"A sudden change in water color and odor usually points to excess waste or an algal bloom. How many kilograms of feed are you giving the fish daily, and do you have a way to flush out bottom water and pump in fresh water right now?"
question_back,REMOVED,en,"Retrieved Passages:

Passage 1:
For large bunker silos where compaction is done by heavy tractors, forage sorghum should be chopped into 2 to 3 cm lengths to ensure rapid air exclusion.

Passage 2:
When ensiling forage sorghum in manual plastic bag silos, stalks should be chopped finer into 1 cm lengths to allow manual tamping without puncturing the liner.

Question:
How short should I chop my forage sorghum when making silage?","The required chop length for forage sorghum depends on the type of silo you are filling. For large bunker silos compacted by tractors, chop stalks into 2 to 3 cm lengths, whereas for manual plastic bag silos, chop stalks finer into 1 cm lengths to help with manual tamping and avoid puncturing the bags. Are you packing your silage into a bunker silo or plastic silage bags?"
question_back,REMOVED,en,"Retrieved Passages:

Passage 1:
In years with normal rainfall distribution, pigeon pea shrubs should be pruned to 75 cm post-harvest to encourage vigorous lateral ratoon branching.

Passage 2:
During drought years or in marginal semi-arid zones, pigeon pea shrubs should be cut back severely to 30 cm above ground level to reduce transpiring surface area.

Question:
At what height should I prune my pigeon pea shrubs after the first harvest?","The recommended pruning height for pigeon pea shrubs depends on your rainfall conditions. In years with normal rainfall, prune shrubs to 75 cm to encourage vigorous lateral branching, but during drought years or in semi-arid zones, cut them back severely to 30 cm to reduce water loss. Are you operating in a normal rainfall zone or experiencing drought conditions?"
question_back,REMOVED,en,Why are my onion bulbs not forming well despite growing tall leaves?,"There are several possibilities for poor bulbing. Did you apply a heavy dose of nitrogen fertilizer recently, or are you growing an onion variety that requires longer daylight hours than what your region currently offers?"
question_back,REMOVED,en,I found small worms and tunnels inside my harvested sweet potatoes.,"That damage strongly suggests sweet potato weevils. How many months after planting did you harvest the tubers, and did you notice cracks in the soil around the plant base during the dry season before harvest?"
question_back,REMOVED,en,"Retrieved Passages:

Passage 1:
Short-day onion varieties grown in tropical latitudes require a moderate nitrogen application of 60 kg/ha early in the vegetative stage to prevent thick neck formation.

Passage 2:
Long-day onion cultivars require a heavy basal dose of 120 kg/ha of nitrogen followed by two subsequent top-dressings to achieve export bulb size.

Question:
How much nitrogen fertilizer should I apply to my onion crop to get good-sized bulbs?","The retrieved passages explain that nitrogen requirements for onions depend entirely on the variety: short-day tropical varieties need a moderate dose of 60 kg/ha early in the vegetative stage, whereas long-day cultivars require a heavy basal dose of 120 kg/ha plus two top-dressings. Are you growing a short-day or long-day onion variety on your farm?"
